Relative Humidity,Precipitation,Temperature,Tension
70.9,3.4,13.9,11.3
68,2.7,13.3,10.8
65.3,2.3,14,10.8
71.9,2.4,14.6,12
68.8,2.1,14.9,11.6
67.7,3.7,14.5,11
68.2,3.3,14.5,11.2
66.6,3.1,14.4,10.9
66.8,3.6,14.2,10.6
65.7,3,14.9,11
67.8,2.7,14.9,11.6
71.7,4.1,13.8,11.3
65.9,2.9,13.5,10.5
62.8,2.3,14.6,10.4
63.8,2.9,14.7,10.7
65.8,2.9,14.8,11.1
65.2,2.3,15,11
64.6,2.4,14.6,10.9
66.7,3.4,14.6,11.2
69.1,3,14.9,11.6
70.3,4.1,14.1,11.2
66.3,2.7,15.3,11.3
70.5,2.9,14.9,11.9
73.8,3.6,14.5,12.1
72.5,2.9,14.9,12.4
69.9,2.2,15.2,12.1
70,2.8,15.2,12.1
66.8,2.1,16,12.1
67.8,2.6,15.7,12.1
68.1,4.3,14.9,11.5
73.7,3.2,14.6,11.9
